recipe_id,ingredient_id
550e8400-e29b-41d4-a716-446655440001,1
550e8400-e29b-41d4-a716-446655440001,3
550e8400-e29b-41d4-a716-446655440001,110
550e8400-e29b-41d4-a716-446655440001,227
550e8400-e29b-41d4-a716-446655440001,228
550e8400-e29b-41d4-a716-446655440001,229
550e8400-e29b-41d4-a716-446655440001,10
550e8400-e29b-41d4-a716-446655440002,1
550e8400-e29b-41d4-a716-446655440002,100
550e8400-e29b-41d4-a716-446655440002,204
550e8400-e29b-41d4-a716-446655440002,227
550e8400-e29b-41d4-a716-446655440002,228
550e8400-e29b-41d4-a716-446655440002,229
550e8400-e29b-41d4-a716-446655440002,232
550e8400-e29b-41d4-a716-446655440003,103
550e8400-e29b-41d4-a716-446655440003,1
550e8400-e29b-41d4-a716-446655440003,10
550e8400-e29b-41d4-a716-446655440003,227
550e8400-e29b-41d4-a716-446655440003,228
550e8400-e29b-41d4-a716-446655440003,229
550e8400-e29b-41d4-a716-446655440003,233
550e8400-e29b-41d4-a716-446655440004,94
550e8400-e29b-41d4-a716-446655440004,216
550e8400-e29b-41d4-a716-446655440004,224
550e8400-e29b-41d4-a716-446655440004,225
550e8400-e29b-41d4-a716-446655440004,228
550e8400-e29b-41d4-a716-446655440004,233
550e8400-e29b-41d4-a716-446655440005,105
550e8400-e29b-41d4-a716-446655440005,1
550e8400-e29b-41d4-a716-446655440005,227
550e8400-e29b-41d4-a716-446655440005,228
550e8400-e29b-41d4-a716-446655440005,229
550e8400-e29b-41d4-a716-446655440005,10
550e8400-e29b-41d4-a716-446655440006,125
550e8400-e29b-41d4-a716-446655440006,224
550e8400-e29b-41d4-a716-446655440006,10
550e8400-e29b-41d4-a716-446655440007,126
550e8400-e29b-41d4-a716-446655440007,1
550e8400-e29b-41d4-a716-446655440007,231
550e8400-e29b-41d4-a716-446655440007,228
550e8400-e29b-41d4-a716-446655440007,229
550e8400-e29b-41d4-a716-446655440007,10
550e8400-e29b-41d4-a716-446655440008,93
550e8400-e29b-41d4-a716-446655440008,227
550e8400-e29b-41d4-a716-446655440008,228
550e8400-e29b-41d4-a716-446655440008,229
550e8400-e29b-41d4-a716-446655440008,233
550e8400-e29b-41d4-a716-446655440009,93
550e8400-e29b-41d4-a716-446655440009,1
550e8400-e29b-41d4-a716-446655440009,2
550e8400-e29b-41d4-a716-446655440009,227
550e8400-e29b-41d4-a716-446655440009,228
550e8400-e29b-41d4-a716-446655440009,229
550e8400-e29b-41d4-a716-446655440009,233
550e8400-e29b-41d4-a716-446655440010,92
550e8400-e29b-41d4-a716-446655440010,204
550e8400-e29b-41d4-a716-446655440010,224
550e8400-e29b-41d4-a716-446655440010,225
550e8400-e29b-41d4-a716-446655440010,232
550e8400-e29b-41d4-a716-446655440010,233 