id,name,image_url,genre_id,cooking_time,cost_estimate,summary,catchphrase,instructions,user_id,is_public,is_draft,created_at,updated_at
550e8400-e29b-41d4-a716-446655440001,肉じゃが,recipes/550e8400-e29b-41d4-a716-446655440001/main.webp,1,40,800,"定番の和食、肉じゃがです。じゃがいもの甘みと牛肉の旨味が染み込んだ、家庭的な味わいの一品です。","じゃがいもの甘みと牛肉の旨味が染み込んだ、定番の和食",[],6fbaf02f-ad06-4bee-966b-48407c7af8cb,true,false,2024-03-20 10:00:00.000000,2024-03-20 10:00:00.000000
550e8400-e29b-41d4-a716-446655440002,ハンバーグ,recipes/550e8400-e29b-41d4-a716-446655440002/main.webp,1,35,1000,"手作りハンバーグです。玉ねぎの甘みと肉の旨味が調和した、ジューシーな一品です。","玉ねぎの甘みが効いた、ジューシーな手作りハンバーグ",[],6fbaf02f-ad06-4bee-966b-48407c7af8cb,true,false,2024-03-20 10:00:00.000000,2024-03-20 10:00:00.000000
550e8400-e29b-41d4-a716-446655440003,生姜焼き,recipes/550e8400-e29b-41d4-a716-446655440003/main.webp,1,25,700,"定番の和食、生姜焼きです。しょうがの香りと甘辛い味付けが食欲をそそります。","しょうがの香りが食欲をそそる、定番の和食",[],6fbaf02f-ad06-4bee-966b-48407c7af8cb,true,false,2024-03-20 10:00:00.000000,2024-03-20 10:00:00.000000
550e8400-e29b-41d4-a716-446655440004,鶏の唐揚げ,recipes/550e8400-e29b-41d4-a716-446655440004/main.webp,1,30,900,"サクサクの衣とジューシーな鶏肉が特徴の唐揚げです。お酒のおつまみにも最適です。","サクサクの衣とジューシーな鶏肉が絶品の唐揚げ",[],6fbaf02f-ad06-4bee-966b-48407c7af8cb,true,false,2024-03-20 10:00:00.000000,2024-03-20 10:00:00.000000
550e8400-e29b-41d4-a716-446655440005,豚の角煮,recipes/550e8400-e29b-41d4-a716-446655440005/main.webp,1,120,1500,"豚バラ肉をじっくり煮込んだ角煮です。柔らかく煮込まれた肉と甘辛い味付けが絶品です。","柔らかく煮込まれた豚バラ肉の絶品角煮",[],6fbaf02f-ad06-4bee-966b-48407c7af8cb,true,false,2024-03-20 10:00:00.000000,2024-03-20 10:00:00.000000
550e8400-e29b-41d4-a716-446655440006,鮭の塩焼き,recipes/550e8400-e29b-41d4-a716-446655440006/main.webp,1,20,800,"シンプルな塩焼きで鮭の旨味を引き出した一品です。ご飯との相性抜群です。","シンプルな塩焼きで鮭の旨味を引き出す",[],6fbaf02f-ad06-4bee-966b-48407c7af8cb,true,false,2024-03-20 10:00:00.000000,2024-03-20 10:00:00.000000
550e8400-e29b-41d4-a716-446655440007,鯖の味噌煮,recipes/550e8400-e29b-41d4-a716-446655440007/main.webp,1,30,700,"鯖を味噌で煮込んだ、ご飯が進む一品です。青魚の旨味と味噌の相性が抜群です。","味噌の風味が効いた、ご飯が進む鯖の煮物",[],6fbaf02f-ad06-4bee-966b-48407c7af8cb,true,false,2024-03-20 10:00:00.000000,2024-03-20 10:00:00.000000
550e8400-e29b-41d4-a716-446655440008,照り焼きチキン,recipes/550e8400-e29b-41d4-a716-446655440008/main.webp,1,25,800,"鶏もも肉を照り焼きソースで仕上げた一品です。甘辛い味付けが食欲をそそります。","甘辛い照り焼きソースが食欲をそそる",[],6fbaf02f-ad06-4bee-966b-48407c7af8cb,true,false,2024-03-20 10:00:00.000000,2024-03-20 10:00:00.000000
550e8400-e29b-41d4-a716-446655440009,鶏の南蛮漬け,recipes/550e8400-e29b-41d4-a716-446655440009/main.webp,1,35,900,"揚げた鶏肉を甘酢に漬け込んだ一品です。さっぱりとした味わいが特徴です。","さっぱりとした甘酢が効いた南蛮漬け",[],6fbaf02f-ad06-4bee-966b-48407c7af8cb,true,false,2024-03-20 10:00:00.000000,2024-03-20 10:00:00.000000
550e8400-e29b-41d4-a716-446655440010,鶏むね肉のピカタ,recipes/550e8400-e29b-41d4-a716-446655440010/main.webp,1,25,700,"鶏むね肉を卵でコーティングした一品です。柔らかく仕上がり、ヘルシーな味わいです。","柔らかく仕上がる、ヘルシーな鶏むね肉のピカタ",[],6fbaf02f-ad06-4bee-966b-48407c7af8cb,true,false,2024-03-20 10:00:00.000000,2024-03-20 10:00:00.000000 